1 XGB;1 LR;1 SVM;1 GB;2 LR;2 SVM;2 RF;2 ET;3 GB;3 XGB;3 RF;3 SVM;4 XGB;4 GB;4 LR;4 SVM
ATP1A2;ATP1A2;ATP1A2;ATP1A2;EGFR;EGFR;VIM;SPOCK1;TMSB4X;TMSB4X;APOD;GFAP;TMSB4X;TMSB4X;GFAP;SPARCL1
NMB;SPARCL1;SPARCL1;SPARCL1;CALM1;VIM;EGFR;TMSB4X;PTGDS;HSPB1;HTRA1;SPARCL1;ANXA1;ATP1A2;ATP1A2;ATP1A2
SPARCL1;CPE;CPE;USMG5;APOD;ITGB8;ANXA1;ANXA1;HSPB1;SPOCK1;SPOCK1;CALM1;CSF1R;APOD;SPARCL1;GFAP
USMG5;FTL;HES6;PTN;SPOCK1;ANXA5;SOX9;TUBB4A;APOD;IGSF6;RPLP1;VIM;GLDN;SPARCL1;FTL;CPE
PTN;FTH1;PRODH;PCSK1N;ANXA1;RPS27L;ANXA5;CA10;GFAP;CSF1R;SULF2;APOD;EMP3;IFI44L;S100A10;EGFR
PCSK1N;S100A10;SERPINE2;TMSB10;PTGDS;CRYAB;IFI44L;KCNQ2;EGFR;ABHD10;CDR1;EGFR;COMMD6;GFAP;CPE;VIM
ANAPC11;HES6;DLC1;TMEM144;EIF1;HES6;IGFBP2;IFI44L;SEC61G;PTGDS;GPR17;CYB5B;ANXA2;ANXA1;TMSB4X;FTL
TMSB10;B2M;S100B;PRODH;VIM;ANXA1;AQP4;MEG3;IGSF6;SPARCL1;TMSB10;ANXA1;RPL38;TMSB10;CALM1;S100A10
TMEM144;PRODH;S1PR1;FTL;MGLL;GNG5;GJA1;UGT8;IGFBP2;NACA;RPS18;CRYAB;CEBPD;EGFR;APOD;HES6
PSMB4;SERPINE2;IFI44;NMB;ITM2C;RPL9;CD44;CPNE6;RPLP1;EGFR;POLR2J;CLU;APBB1IP;CSF1R;CHI3L1;CALM1
NRBP2;RPS18;NTRK2;ANAPC11;PLLP;GFAP;EPN2;GPR98;CSF1R;CSF3R;SLC6A1;S100A10;TMSB10;HTRA1;B2M;IFI44
FTL;TMSB10;PRDX6;RPL30;ITGB8;MGLL;CLU;EGFR;NACA;ALDOC;ATCAY;TMSB4X;ATP1A2;HES6;HES6;CLU
MIR3682;SERPINA3;GRAMD3;ANXA5;HES6;SPOCK1;GNG5;CRYAB;ANXA1;C1QC;NDUFB2;TRIM2;HLA-DRB6;ITM2B;TMSB10;APOD
S1PR1;GAPDH;FTL;ECHDC2;RPS27L;S100B;TMSB4X;ID3;ITGB8;SEC61G;CHCHD2;TBC1D9B;APOD;LCP2;EGFR;TMSB4X
PRODH;GFAP;ITM2B;GNG11;GFAP;APOD;SPOCK1;HAP1;HTRA1;APOD;EGFR;CDR1;TUBGCP2;LOC100505875;NTRK2;CRYAB
SRP9;RPLP1;PSRC1;HOOK2;FTL;NDUFS5;PSPH;GPR17;CSF3R;RPL12;CNTN1;SPOCK1;LCP2;SRP9;GAPDH;SCG3
GAP43;S1PR1;H3F3B;TXN;TRIM2;TMSB4X;HTRA1;PLLP;TMSB10;GFAP;NKAIN4;KXD1;LOC100505854;MTRNR2L8;RPS18;ANXA1
RPL30;TXN;SERPINA3;FYN;APOE;RPL37;TNC;VIM;CREG1;CALM1;RPL36;ID3;IFI44;CPE;ALDOC;SEC61G
LAMA5;C3;CKB;PNISR;ANXA5;DDX56;NDUFA4;TSPAN12;FAM107B;NDRG4;NDUFS5;IL6ST;GNG11;ITGB8;RPLP1;H3F3B
ECHDC2;CHI3L1;BTG2;DPYSL3;NAV1;IFI44;GFRA1;PTGDS;SLAMF9;ITGB8;HSPB1;EPHB1;SRP9;GLDN;SEC61G;RPS27L
